,Unnamed: 0.1,Unnamed: 0,BATHRM,HF_BATHRM,AC,NUM_UNITS,ROOMS,BEDRM,EYB,STORIES,PRICE,STRUCT,CNDTN,KITCHENS,FIREPLACES,LANDAREA,FULLADDRESS,CITY,STATE,ZIPCODE,NATIONALGRID,LATITUDE,LONGITUDE,ASSESSMENT_SUBNBHD,WARD,SQUARE,X,Y,QUADRANT,year,"('distance', '.25metro', '.50metro')",distance2
9509,131886,131886,1,0,Y,,3,1,1900,,,,,,0,246,,,,20005.0,,38.90872038,-77.03112593,040 E Old City 2,Ward 2,242,-77.03112822103574,38.90872783642995,NW,2017,0.5191480889334333,0.7341862682497351
9510,131888,131888,1,0,Y,,3,1,1900,,419000.0,,,,0,319,,,,20005.0,,38.90872038,-77.03112593,040 E Old City 2,Ward 2,242,-77.03112822103574,38.90872783642995,NW,2017,0.5191480889334333,0.2279532495103413
9511,131899,131899,1,0,Y,,4,1,2008,,515000.0,,,,0,425,,,,20001.0,,38.91874659,-77.02549263,040 F Old City 2,Ward 1,358,-77.02549491551721,38.9187540456176,NW,2017,0.16118728852227138,0.2279532495103413
9512,131901,131901,2,0,Y,,5,2,2008,,918000.0,,,,0,725,,,,20001.0,,38.91874659,-77.02549263,040 F Old City 2,Ward 1,358,-77.02549491551721,38.9187540456176,NW,2017,0.16118728852227138,0.23526995986179447
9513,131908,131908,2,0,Y,,4,2,2016,,719000.0,,,,0,1543,,,,20001.0,,38.91618896,-77.02458687,040 G Old City 2,Ward 1,361,-77.02458916021305,38.916196420689495,NW,2017,0.16636098402776173,0.23526995986179447
9514,131909,131909,2,0,Y,,4,2,2016,,839900.0,,,,0,534,,,,20001.0,,38.91618896,-77.02458687,040 G Old City 2,Ward 1,361,-77.02458916021305,38.916196420689495,NW,2017,0.16636098402776173,0.23526995986179447
9515,131910,131910,2,0,Y,,4,2,2016,,735500.0,,,,0,492,,,,20001.0,,38.91618896,-77.02458687,040 G Old City 2,Ward 1,361,-77.02458916021305,38.916196420689495,NW,2017,0.16636098402776173,0.23526995986179447
9516,131911,131911,2,0,Y,,4,2,2016,,809900.0,,,,0,534,,,,20001.0,,38.91618896,-77.02458687,040 G Old City 2,Ward 1,361,-77.02458916021305,38.916196420689495,NW,2017,0.16636098402776173,0.23526995986179447
9517,131912,131912,2,0,Y,,4,2,2016,,864500.0,,,,0,634,,,,20001.0,,38.91618896,-77.02458687,040 G Old City 2,Ward 1,361,-77.02458916021305,38.916196420689495,NW,2017,0.16636098402776173,0.23526995986179447
9518,131913,131913,2,0,Y,,4,2,2016,,1049900.0,,,,0,707,,,,20001.0,,38.91618896,-77.02458687,040 G Old City 2,Ward 1,361,-77.02458916021305,38.916196420689495,NW,2017,0.16636098402776173,0.36185131358007944
9519,131945,131945,1,0,Y,,3,1,1947,,449000.0,,,,0,179,,,,20005.0,,38.90445577,-77.03105732,,Ward 2,247,-77.03105961661437,38.904463225324726,NW,2017,0.25586751761373405,0.24446324854507798
9520,131973,131973,1,0,Y,,3,1,2006,,490000.0,,,,0,120,,,,20001.0,,38.90476073,-77.02429751,040 C Old City 2,Ward 2,369,-77.02429980189362,38.90476818277057,NW,2017,0.17286162079711703,0.24446324854507798
9521,131978,131978,2,0,Y,,4,2,2006,,840000.0,,,,0,241,,,,20001.0,,38.90476073,-77.02429751,040 C Old City 2,Ward 2,369,-77.02429980189362,38.90476818277057,NW,2017,0.17286162079711703,0.24446324854507798
9522,131989,131989,1,1,Y,,4,1,2006,,616783.0,,,,0,150,,,,20001.0,,38.90476073,-77.02429751,040 C Old City 2,Ward 2,369,-77.02429980189362,38.90476818277057,NW,2017,0.17286162079711703,0.36185131358007944
9523,131998,131998,2,0,Y,,4,2,1949,,639000.0,,,,1,307,,,,20005.0,,38.90445577,-77.03105732,,Ward 2,247,-77.03105961661437,38.904463225324726,NW,2017,0.25586751761373405,0.36185131358007944
9524,132001,132001,1,0,Y,,4,1,1949,,480000.0,,,,1,261,,,,20005.0,,38.90445577,-77.03105732,,Ward 2,247,-77.03105961661437,38.904463225324726,NW,2017,0.25586751761373405,0.5642815202745453
9525,132050,132050,1,0,Y,,3,1,1929,,519900.0,,,,1,401,,,,20009.0,,38.91345719,-77.03335577,040 E Old City 2,Ward 2,207,-77.03335806357919,38.91346464055503,NW,2017,0.39900728948438524,0.5642815202745453
9526,132060,132060,1,0,Y,,5,2,1929,,600000.0,,,,1,535,,,,20009.0,,38.91345719,-77.03335577,040 E Old City 2,Ward 2,207,-77.03335806357919,38.91346464055503,NW,2017,0.39900728948438524,0.5642815202745453
9527,132075,132075,1,0,Y,,4,1,1929,,664000.0,,,,1,562,,,,20009.0,,38.91345719,-77.03335577,040 E Old City 2,Ward 2,207,-77.03335806357919,38.91346464055503,NW,2017,0.39900728948438524,0.5642815202745453
9528,132084,132084,1,0,Y,,3,1,1925,,435000.0,,,,0,197,,,,20009.0,,38.91345719,-77.03335577,040 E Old City 2,Ward 2,207,-77.03335806357919,38.91346464055503,NW,2017,0.39900728948438524,0.5642815202745453
9529,132087,132087,1,0,Y,,3,1,1925,,420000.0,,,,0,197,,,,20009.0,,38.91345719,-77.03335577,040 E Old City 2,Ward 2,207,-77.03335806357919,38.91346464055503,NW,2017,0.39900728948438524,0.5642815202745453
9530,132089,132089,1,0,Y,,3,1,1925,,502500.0,,,,0,197,,,,20009.0,,38.91345719,-77.03335577,040 E Old City 2,Ward 2,207,-77.03335806357919,38.91346464055503,NW,2017,0.39900728948438524,0.7341862682497351
9531,132105,132105,2,0,Y,,4,2,1900,,725000.0,,,,1,416,,,,20005.0,,38.90872038,-77.03112593,040 E Old City 2,Ward 2,242,-77.03112822103574,38.90872783642995,NW,2017,0.5191480889334333,0.5704214431266604
9532,132110,132110,2,1,Y,,4,2,2002,,905000.0,,,,1,873,,,,20005.0,,38.90897164,-77.02868515,040 C Old City 2,Ward 2,279,-77.02868743218231,38.90897909648716,NW,2017,0.40334887056907814,0.5704214431266604
9533,132122,132122,1,0,Y,,3,1,2005,,528000.0,,,,0,234,,,,20005.0,,38.90897164,-77.02868515,040 C Old City 2,Ward 2,279,-77.02868743218231,38.90897909648716,NW,2017,0.40334887056907814,0.5319690929303453
9534,132126,132126,1,0,Y,,3,1,1875,,579500.0,,,,0,426,,,,20005.0,,38.90754585,-77.02877323,040 C Old City 2,Ward 2,280,-77.0287755213432,38.90755330567546,NW,2017,0.37615895299270385,0.5319690929303453
9535,132163,132163,1,0,Y,,3,1,1875,,575000.0,,,,0,397,,,,20005.0,,38.90754585,-77.02877323,040 C Old City 2,Ward 2,280,-77.0287755213432,38.90755330567546,NW,2017,0.37615895299270385,0.5319690929303453
9536,132165,132165,2,0,Y,,4,2,1875,,600000.0,,,,0,682,,,,20005.0,,38.90754585,-77.02877323,040 C Old City 2,Ward 2,280,-77.0287755213432,38.90755330567546,NW,2017,0.37615895299270385,1.9291945729367348
9537,132181,132181,1,0,Y,,3,1,1957,,220000.0,,,,0,519,,,,20016.0,,38.929271735,-77.08291263000001,054 B Wesley Heights,Ward 3,1699,-77.08291493854509,38.92927919118482,NW,2017,1.3641465647518507,1.9291945729367348
9538,132183,132183,1,0,Y,,3,1,1957,,245900.0,,,,0,519,,,,20016.0,,38.929271735,-77.08291263000001,054 B Wesley Heights,Ward 3,1699,-77.08291493854509,38.92927919118482,NW,2017,1.3641465647518507,1.9291945729367348
9539,132197,132197,2,0,Y,,5,3,1957,,525000.0,,,,0,936,,,,20016.0,,38.929271735,-77.08291263000001,054 B Wesley Heights,Ward 3,1699,-77.08291493854509,38.92927919118482,NW,2017,1.3641465647518507,1.9291945729367348
